title,url,rating,discounted_price,original_price
5 x Authentic Geekvape Zeus Sub-Ohm Mesh Coil Z0.2 0.2ohm Ka1,https://www.cigabuy.com/5-x-authentic-geekvape-zeus-sub-ohm-mesh-coil-z02-02ohm-ka1-p-16128.html,(52),$13.20,
5 x Authentic Geekvape Zeus Sub-Ohm Mesh Coil Z0.2 0.2ohm Ka1,https://www.cigabuy.com/5-x-authentic-geekvape-zeus-sub-ohm-mesh-coil-z02-02ohm-ka1-p-15780.html,(235),$10.60,$12.40 
5 x Authentic Geekvape Zeus Sub-Ohm Mesh Coil Z0.4 0.4ohm Ka1,https://www.cigabuy.com/5-x-authentic-geekvape-zeus-sub-ohm-mesh-coil-z04-04ohm-ka1-p-16127.html,(39),$13.11,
5 x Authentic Geekvape Zeus Sub-Ohm Mesh Coil Z0.4 0.4ohm Ka1,https://www.cigabuy.com/5-x-authentic-geekvape-zeus-sub-ohm-mesh-coil-z04-04ohm-ka1-p-15779.html,(120),$10.60,
Authentic Geekvape L200 Aegis Legend 2 MOD - Silver,https://www.cigabuy.com/authentic-geekvape-l200-aegis-legend-2-mod-silver-p-21796.html,(2),$51.48,
Authentic Geekvape Zeus Sub-ohm Tank Atomizer 5ml - Gunmetal,https://www.cigabuy.com/authentic-geekvape-zeus-sub-ohm-tank-atomizer-5ml-gunmetal-p-16130.html,(33),$25.09,
Authentic Geekvape Zeus Sub-ohm Tank Atomizer 5ml - Black,https://www.cigabuy.com/authentic-geekvape-zeus-sub-ohm-tank-atomizer-5ml-black-p-15776.html,(92),$17.56,$32.78 
Authentic Geekvape Zeus Sub-ohm Tank Atomizer 5ml - Gunmetal,https://www.cigabuy.com/authentic-geekvape-zeus-sub-ohm-tank-atomizer-5ml-gunmetal-p-15777.html,(69),$19.63,$32.78 
Authentic Geekvape L200 Aegis Legend 2 MOD - Silver,https://www.cigabuy.com/authentic-geekvape-l200-aegis-legend-2-mod-silver-p-21213.html,(5),$62.48,
Authentic Geekvape L200 Aegis Legend 2 MOD - Classic Black,https://www.cigabuy.com/authentic-geekvape-l200-aegis-legend-2-mod-classic-black-p-21211.html,(2),$62.48,
Authentic Geekvape L200 Aegis Legend 2 MOD - Black,https://www.cigabuy.com/authentic-geekvape-l200-aegis-legend-2-mod-black-p-21210.html,(2),$62.48,
Authentic Geekvape L200 Aegis Legend 2 Kit - Navy Blue,https://www.cigabuy.com/authentic-geekvape-l200-aegis-legend-2-kit-navy-blue-p-21207.html,(0),$47.88,$84.64 
5 x Authentic Geekvape P Series Coil KA1 0.2ohm,https://www.cigabuy.com/5-x-authentic-geekvape-series-coil-ka1-02ohm-p-20538.html,(0),$7.98,$13.74 
5 x Authentic Geekvape Aegis Boost Coil GC-65 GV 0.6ohm,https://www.cigabuy.com/5-x-authentic-geekvape-aegis-boost-coil-gc-65-gv-06ohm-p-16422.html,(53),$10.45,
Authentic Geekvape Aegis X 200W TC Box Mod - Stealth Black,https://www.cigabuy.com/authentic-geekvape-aegis-x-200w-tc-box-mod-stealth-black-p-16461.html,(33),$60.14,
5 x Authentic Geekvape Aegis Boost Coil GC-71 GV 0.4ohm,https://www.cigabuy.com/5-x-authentic-geekvape-aegis-boost-coil-gc-71-gv-04ohm-p-16423.html,(45),$8.62,$10.82 
5 x Authentic Geekvape Aegis Pod Replacement Mesh Coils 0.6ohm,https://www.cigabuy.com/5-x-authentic-geekvape-aegis-pod-replacement-mesh-coils-06ohm-p-18212.html,(13),$7.62,$9.08 
Authentic Geekvape L200 Aegis Legend 2 MOD - Rainbow,https://www.cigabuy.com/authentic-geekvape-l200-aegis-legend-2-mod-rainbow-p-21215.html,(3),$40.42,$62.48 
Authentic Geekvape Aegis Solo 100W TC Box Mod - Black,https://www.cigabuy.com/authentic-geekvape-aegis-solo-100w-tc-box-mod-black-p-14357.html,(122),$32.76,$47.15 
Authentic Geekvape L200 Aegis Legend 2 Kit - Classic Black,https://www.cigabuy.com/authentic-geekvape-l200-aegis-legend-2-kit-classic-black-p-21204.html,(0),$84.64,
Authentic GeekVape Zeus X RTA 4.5ml 25MM - Gunmetal,https://www.cigabuy.com/authentic-geekvape-zeus-x-rta-45ml-25mm-gunmetal-p-14055.html,(124),$24.74,$36.69 
Authentic Geekvape Wenax Stylus Pod Starter Kit - Granite Grey,https://www.cigabuy.com/authentic-geekvape-wenax-stylus-pod-starter-kit-granite-grey-p-21549.html,(0),$20.10,
Authentic Geekvape Zeus Sub-ohm Tank Atomizer 5ml - Blue,https://www.cigabuy.com/authentic-geekvape-zeus-sub-ohm-tank-atomizer-5ml-blue-p-15773.html,(29),$19.63,$32.78 
Authentic Geekvape L200 Aegis Legend 2 Kit - Rainbow,https://www.cigabuy.com/authentic-geekvape-l200-aegis-legend-2-kit-rainbow-p-21208.html,(1),$84.64,
Authentic Geekvape Feather Organic Cotton 20pcs,https://www.cigabuy.com/authentic-geekvape-feather-organic-cotton-20pcs-p-14403.html,(48),$4.82,
Authentic Geekvape Wenax Stylus Pod Starter Kit - Classic Black,https://www.cigabuy.com/authentic-geekvape-wenax-stylus-pod-starter-kit-classic-black-p-19295.html,(4),$14.68,$23.82 
Authentic Geekvape Aegis Max 100W TC Box Mod - Red Phoenix,https://www.cigabuy.com/authentic-geekvape-aegis-max-100w-tc-box-mod-red-phoenix-p-18880.html,(5),$32.93,$53.53 
5 x Authentic Geekvape M0.2 Triple Coil 0.2ohm,https://www.cigabuy.com/5-x-authentic-geekvape-m02-triple-coil-02ohm-p-21339.html,(0),$22.29,
Authentic Geekvape L200 Aegis Legend 2 MOD - Red,https://www.cigabuy.com/authentic-geekvape-l200-aegis-legend-2-mod-red-p-21216.html,(1),$36.71,$62.48 
Authentic Geekvape L200 Aegis Legend 2 MOD - Navy Blue,https://www.cigabuy.com/authentic-geekvape-l200-aegis-legend-2-mod-navy-blue-p-21214.html,(0),$40.42,$62.48 
Authentic Geekvape Aegis X 200W TC Box Mod - Gunmetal Camo,https://www.cigabuy.com/authentic-geekvape-aegis-x-200w-tc-box-mod-gunmetal-camo-p-16063.html,(15),$49.57,$79.88 
Authentic Geekvape L200 Aegis Legend 2 MOD - Grey,https://www.cigabuy.com/authentic-geekvape-l200-aegis-legend-2-mod-grey-p-21212.html,(0),$62.48,
Authentic Geekvape Z50 Kit - Black,https://www.cigabuy.com/authentic-geekvape-z50-kit-black-p-21333.html,(0),$62.64,
Authentic Geekvape L200 Aegis Legend 2 Kit - Black,https://www.cigabuy.com/authentic-geekvape-l200-aegis-legend-2-kit-black-p-21203.html,(0),$84.64,
Authentic Geekvape TALO X 24mm BF RDA - Blue,https://www.cigabuy.com/authentic-geekvape-talo-x-24mm-bf-rda-blue-p-20207.html,(3),$17.34,$25.86 
Authentic Geekvape Aegis Solo 100W TC Box Mod - Black,https://www.cigabuy.com/authentic-geekvape-aegis-solo-100w-tc-box-mod-black-p-15067.html,(31),$41.87,
5 x Authentic Geekvape Super mesh X1 Coil KA1 0.2ohm,https://www.cigabuy.com/5-x-authentic-geekvape-super-mesh-x1-coil-ka1-02ohm-p-12541.html,(57),$12.66,
Authentic Geekvape Obelisk 120 FC Z Zeus Tank Kit without Fast Charger - Black,https://www.cigabuy.com/authentic-geekvape-obelisk-120-fc-z-zeus-tank-kit-without-fast-charger-black-p-21087.html,(0),$62.11,$99.63 
Authentic Geekvape Z Max Sub-Ohm Tank - Gunmetal,https://www.cigabuy.com/authentic-geekvape-z-max-sub-ohm-tank-gunmetal-p-21083.html,(0),$21.33,$31.81 
Authentic Geekvape Z50 Kit - Rainbow,https://www.cigabuy.com/authentic-geekvape-z50-kit-rainbow-p-21335.html,(0),$62.64,
Authentic Geekvape Zeus Nano Tank - Silver,https://www.cigabuy.com/authentic-geekvape-zeus-nano-tank-silver-p-19997.html,(4),$17.07,$27.07 
Authentic Geekvape Z Max Sub-Ohm Tank - Rainbow,https://www.cigabuy.com/authentic-geekvape-z-max-sub-ohm-tank-rainbow-p-21085.html,(0),$19.42,$31.81 
Authentic Geekvape Zeus Nano Tank - Black,https://www.cigabuy.com/authentic-geekvape-zeus-nano-tank-black-p-20001.html,(5),$12.77,$27.07 
Authentic Geekvape Aegis Boost Pro Kit - Almighty Blue,https://www.cigabuy.com/authentic-geekvape-aegis-boost-pro-kit-almighty-blue-p-20329.html,(2),$30.74,$48.78 
Authentic Geekvape L200 Aegis Legend 2 Kit - Silver,https://www.cigabuy.com/authentic-geekvape-l200-aegis-legend-2-kit-silver-p-21206.html,(2),$53.90,$84.64 
