title,start_date,end_date,description,event_category,event_tags,website,venue,other_header,others,creator_header,creator
Lucky Maneki PFP Drop,August 1 @ 08:00,August 31 @ 17:00,"Dopest Avatar Drop,A free to mint drop of outstanding avatar (pfp) Lucky Mnaeki version will be available exclusively to Lucky Maneki holders. You may claim as many as you own Manekis from the original drop. (1:1)",Drop,Ethereum,https://luckymaneki.com,OpenSea," Creator (or Project) Twitter ID, Contributor (Submitter) Twitter ID"," @luckymanekinft, @manekimasuta"," Email:, Website:"," , hey@luckymaneki.com, "
Hashmark Cards by GreetingsNation,August 6 @ 00:00,December 31 @ 17:00,Tired of killing trees with paper birthday cards that are thrown away a day after the celebration? Why not try transferring a Hashmark birthday card to that special person? The gift that keeps on giving! Share the love!,Drop,Ethereum,https://opensea.io/collection/hashmarkcards,OpenSea,,," Email:, Website:"," , greetingsnation@gmail.com, "
Mana Gigantus Play-To-Earn Hack and Slash MMORPG Game,August 10 @ 00:00,August 24 @ 00:00,"We are excited to announce that the founders sale launch for Mana Gigantus will start from August 12th untill August 19th. We will have Land & Structure NFT’s for sale which, you will later find out, to have much much bigger benefits than what we can say for now.,Mana Gigantus is a blockchain-based online MMO experience, with verified proof-of-ownership. This hack and slash game in the memories of series such as Torchlight.,With every purchase, included (besides the untold benefits mentioned above) our early supporters will receive founding members’ exclusive in-game skills as well as emblems to have forever exclusive access to founders’ hall within the game. All of these, of course are NFT’s and can be traded. Claim your ownership of structures as lucrative real estate (NFT) and experience a new world of digital livelihoods. Our structures will sell in total 5250 Campgrounds, 530 Tents, 52 Adventurer’s Inn, and 5 Castles, and these will never come back in the game. This will be an ownership sale event on OpenSea, every purchase contains a unique 1/1 character, three types of weapons and an emblem to access the Founders’ Hall.,UPCOMING STRUCTURE SALE INFO,The founding sale will last a maximum of 14 days, after this date we hope to be completely sold out, if not there will be a 2nd sale once the beta version of the game is available., Immediately after the initial sale is over, the new ERC-721 assets will be minted to the eligible addresses.,The advantage is that this offers a great opportunity for early investors to get hold of more structure, because the next sale the cards will increase in price.,Each structure represents a unique 1/1 character (in game avatar) with associated attributes / rarities, and 3 different weapons. The unique characters also comes with a property tile in Founders’ Hall Wall.,In total there are 5837 structures. The Mana Gigantus team allocated 200 structures for promotional purposes, such as giveaways; another 100 structures are allocated for the team, which may also be used for giveaways in the future.,In total, 5837 structures will be available for purchase during the Initial sale.,Each structure contains (4 NFTs) 1 unique character and 1 structure (as 1 new NFT) and 3 weapons (as 3 NFTs),Mana Gigantus founders’ sale:,– 1 Founders’ Campsite for 0.03 ETH, – 1 Founders’ Tent for 0.08 ETH, – 1 Founders’ Adventurer’s Inn for 2 ETH, – 1 Founders’ Castle for 5 ETH,SUPPLY,– Mana Gigantus Structures: 5837 in total, – Characters: 1 unique 1:1 character = 5837 in total, – Different weapons: 78 types with a max supply of 225 = 17,511 in total,August 10th @ 12AM EDT (4AM UTC),– Initial Sales of 5837 Mana Gigantus Structures.,August 30th @ 12AM EDT (4AM UTC),– Minting characters, there tile lands and the weapons,August 30th @ 12AM EDT (4AM UTC),– Demo game release,For more information, please visit our discord, the website is currently in the works.,– Discord: https://discord.gg/TdGu7qG6",Drop,Ethereum,https://discord.gg/TdGu7qG6,OpenSea," Source, Creator (or Project) Twitter ID, Contributor (Submitter) Twitter ID"," , @ManaGigantus, @Babyblades"," Email:, Website:"," , ManaGigantus@gmail.com, "
PandaBugz,August 8 @ 04:00,September 8 @ 04:00,"PandaBugz are 10,000 NFT’s – 3D rendered art randomly generated on IPFS with a FREE Metaverse Avatar +.STL/.OBJ included | We have a land parcel in Somnium Space and our GolfRush Play 2 Earn video game has now been released!,The Pandas were once an endangered species on the blockchain just as they are in real life, but the honourable PixelBugz heard of this and decided to send out a battallion from their mighty army on a relentless mission to help save the Pandas from their dire fate.,The PixelBugz manipulated the genetic structure of the Panda gene pool and mixed their genes with the Pandas genes creating a hybrid, which resulted in the Pandas DNA being upgraded. This acted as a catalyst for their evolution into the notorious and mighty PandaBugz! They colonized land in the Somnium Space metaverse, and continue to expand their new empire far and beyond.",Drop,Ethereum,https://pandabugz.club/,OpenSea," Source, Creator (or Project) Twitter ID, Contributor (Submitter) Twitter ID"," , @PandaBugz, @Jay_Profits"," Email:, Website:"," , info@pandabugz.club, "
METAWORKS,August 10 @ 03:00,September 30 @ 12:00,"ＭＥＴＡＷＯＲＫＳ, Part of @artobotics curated by @ayshiataskin for Edinburgh Festival., //, The fantastic line-up of some of the most stunning & conceptual creators. METAWORKS is bridging the divide between the physical and crypto realm., #MetaWorksArtobotic #Artobotic2021,Virtual show at thewallspacegallery.com,Participating Artists//, @sabet @ericmillikin @fokawolf @d_centrlaysh @whitehotmag @BoomVermeer @superthing_art @RyanAnnett5 @willsplanet @iofeye @MaiaMellier @unshareable @TheAlsos @radorossum @jaygoldingart @_DKleine @GassanAqel @atimtay Daniele Bongiovanni,Contact the Gallery or Ayshia Taskin for POAPs., https://poap.gallery/event/4801","Auction,Drop","Ethereum,FLOW",https://thewallspacegallery.com/crypto-shows/,KnownOrigin," Source, Creator (or Project) Twitter ID, Contributor (Submitter) Twitter ID"," , @TheWSG_, @TheWSG_",," , Artobotic"
"Crypto Birthday Cakes bake sale @ Monday Aug 9th, 13:00pm EST",August 9 @ 13:00,August 31 @ 23:00,"Crypto Birthday Cakes are 366 uniquely generated collectibles celebrated on the Ethereum Blockchain. One Crypto Birthday Cake per each day of the year.,cryptobirthdaycakes.com,Bake sale launches the bake sale Monday Aug 9th, 13:00pm EST",Drop,Ethereum,www.cryptobirthdaycakes.com,OpenSea, Creator (or Project) Twitter ID, https://twitter.com/CryptoBdayCakes," Email:, Website:"," , cryptobirthdaycakes@gmail.com, "
Cantaloupe Island presents: Flooting Grooves “Psydeburns”,August 10 @ 08:00,August 31 @ 17:00,"9 🎨🎶 NFTs / 9 editions / 9 hand painted Mandalas. Music by Flooting Grooves, Artwork by K.lah",Drop,Ethereum,cantaloupe-island.com/collections,,,, Email:," , thecantaloupeislandlabs@protonmail.com"
Candy Hits Album Cover NFT drop,August 6,August 18,"This is the original album art for the iTunes Dulce Records album release “candy hits.” Dulce Records was an independent label from the early 2000’s featuring south Florida rappers, house producers from Mexico and singers from Africa. This global label was one of the first independent labels to get digital releases on iTunes through the ingrooves distribution platform. I designed this art over 20 years ago.","Auction,Drop",Ethereum,,OpenSea, Source, ," Email:, Website:"," , adampalumboart@gmail.com, "
SimpleSwap.io Is Giving Away 3 Rare Digital Dragons!,August 3 @ 10:00,August 18 @ 12:00,"Who wasn’t dreaming about taming a Dragon?, With SimpleSwap.io dreams come true. You have a chance to become a true Drakon Master., Join our NFT Giveaway and win one of our unique collectible digital dragons created by SimpleSwap.io and Drakons.io., The giveaway will run from 3d August till 18th August. Find full rules on Twitter., Winners will be announced on 18th August on SimpleSwap’s official Twitter.",Drop,,https://twitter.com/SimpleSwap_io/status/1422557914959597579,," Source, Creator (or Project) Twitter ID, Contributor (Submitter) Twitter ID"," , @SimpleSwap_io, @SimpleSwap_io"," Email:, Website:"," , marketing@simpleswap.io, "
Cells Zone NFT LAUNCH!,August 8 @ 20:08,September 9 @ 17:00,"Cells Zone NFT isn’t another 10k Avatar project, although we have something in common: #Cells have traits! Not another metaverse either, but there’s a map. So… What is a Cell? Let’s find out!,A Cell is an Interactive, Customizable, Dynamic NFT. 29886 of them were discovered everywhere around the World! Owning Cell grants you a membership and an exclusive location in The Cells Zone Map. A whole new world is possible.,Minting will take place at Open Sea! Cells come in bundles and will be assigned RANDOMLYD. Mint price will be between 0.01 and 0.02 Eth per Cell, depending on the bundle you choose!,August 8, 2021, 08:08 PM UTC! Save the date!",Drop,Ethereum,cells.zone,OpenSea, Source, , Website:," , "
