Name,link,store,price
15% off select SSDs @Newegg Samsung 980 NVMe SSD $93.49; 500GB / $51; 2TB 870 QVO / $156AC; 8TB/ $595 and more,https://slickdeals.net/f/15216322-15-off-select-ssds-newegg-samsung-980-nvme-ssd-93-49-500gb-51-2tb-870-qvo-156ac-8tb-595-and-more,Newegg,$93.49
Alienware Aurora R12 Gaming Desktop $1896.4,https://slickdeals.net/f/15216613-alienware-aurora-r12-gaming-desktop-1896-4,Dell Home & Office,"$1,896.40"
"Nitro 5 Gaming Laptop  - 15.6"" FHD 144Hz IPS, Ryzen 7 5800H, RTX 3070, 16GB DDR4, 512 Gb SSD, Win10H @ $1349.99",https://slickdeals.net/f/15215611-nitro-5-gaming-laptop-15-6-fhd-144hz-ips-ryzen-7-5800h-rtx-3070-16gb-ddr4-512-gb-ssd-win10h-1349-99,Acer,"$1,349.99"
"Samsung EDU: Galaxy Book Pro 15.6"" Laptop: i5-1135G7, 8GB RAM, 512GB SSD & More",https://slickdeals.net/f/15215623-edu-only-amoled-samsung-galaxy-book-pro-laptop-15-i5-8gb-ram-512-ssd-silver-free-galaxy-buds-pro-headphones-664-99,Samsung,$665
"Recycle Any Storage Device, Get Select Western Digital & SanDisk Storage Devices",https://slickdeals.net/f/15214777-best-buy-recycle-any-storage-device-get-15-off-select-western-digital-and-sandisk-storage-devices,Best Buy,15% Off
"Costco: Logitech Precision Pro Wireless Mouse (M720 Triathlon) $25, $19.99 + $4.99 Shipping",https://slickdeals.net/f/15215284-costco-logitech-precision-pro-wireless-mouse-m720-triathlon-25-19-99-4-99-shipping,Costco Wholesale,$19.99
32GB (2x16GB) G.SKILL Ripjaws Series 3200 MHz  DDR4 SO-DIMM Laptop Memory - $120 @ Newegg,https://slickdeals.net/f/15215026-32gb-2x16gb-g-skill-ripjaws-series-3200-mhz-ddr4-so-dimm-laptop-memory-120-newegg,Newegg,$119.99
32GB (2x 16) G.SKILL Trident Z RGB (For AMD)  DDR4 3200 Desktop RAM kit @Newegg $151,https://slickdeals.net/f/15216415-32gb-2x-16-g-skill-trident-z-rgb-for-amd-ddr4-3200-desktop-ram-kit-newegg-151,Newegg,$151
32GB (2x 16) Team T-Force Delta RGB DDR4 3200 Desktop RAM Kit @Newegg $130,https://slickdeals.net/f/15216409-32gb-2x-16-team-t-force-delta-rgb-ddr4-3200-desktop-ram-kit-newegg-130,Newegg,$130
ASUS PCE-AC56 and ASUS PCE-AC68 Wireless PCI-E Adapter (Newegg) ($22.99 After MIR),https://slickdeals.net/f/15216394-asus-pce-ac56-and-asus-pce-ac68-wireless-pci-e-adapter-newegg-22-99-after-mir,,$22.99
